category	table	identity_key	entry	guid	map	zone	area	phase_mask	position_x	position_y	position_z	orientation	relation_type	quest_id	expected_count	source	confidence	notes
CREATURE_REFERENCE	creature	guid=516057	58719	516057	870	5805	6039	1	-160.729	634.592	165.493	0			8	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN;SEMANTICS_UNKNOWN	rock/reference creature; static presence does not prove gameplay behavior
CREATURE_REFERENCE	creature	guid=516058	58719	516058	870	5805	6039	1	-179.028	650.283	165.508	0.890118			8	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN;SEMANTICS_UNKNOWN	rock/reference creature; static presence does not prove gameplay behavior
CREATURE_REFERENCE	creature	guid=516059	58719	516059	870	5805	6039	1	-151.29	629.465	166.738	0			8	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN;SEMANTICS_UNKNOWN	rock/reference creature; static presence does not prove gameplay behavior
CREATURE_REFERENCE	creature	guid=516060	58719	516060	870	5805	6039	1	-170.748	642.601	165.493	1.50098			8	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN;SEMANTICS_UNKNOWN	rock/reference creature; static presence does not prove gameplay behavior
TUTORIAL_NPC	creature	guid=516061	58721	516061	870	5805	6039	1	-159.463	633.603	165.409	5.19326			1	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN	tutorial reference NPC; runtime role/presentation not asserted
CREATURE_REFERENCE	creature	guid=516062	58719	516062	870	5805	6039	1	-192.471	623.967	166.416	5.75959			8	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN;SEMANTICS_UNKNOWN	rock/reference creature; static presence does not prove gameplay behavior
CREATURE_REFERENCE	creature	guid=516063	58719	516063	870	5805	6039	1	-194.368	655.786	164.555	0			8	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN;SEMANTICS_UNKNOWN	rock/reference creature; static presence does not prove gameplay behavior
CREATURE_REFERENCE	creature	guid=516064	58719	516064	870	5805	6039	1	-209.031	605.566	169.547	0			8	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN;SEMANTICS_UNKNOWN	rock/reference creature; static presence does not prove gameplay behavior
CREATURE_REFERENCE	creature	guid=516065	58719	516065	870	5805	6039	1	-190.561	641.505	165.493	1.06465			8	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN;SEMANTICS_UNKNOWN	rock/reference creature; static presence does not prove gameplay behavior
TUTORIAL_NPC	creature	guid=516066	58646	516066	870	5805	6039	1	-158.578	608.821	175.643	2.14675			2	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN	Farmer Yoon snapshot identity; runtime role/presentation not asserted
TUTORIAL_NPC	creature	guid=516067	58646	516067	870	5805	6039	1	-180.844	628.358	165.493	1.85448			2	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN	Farmer Yoon snapshot identity; runtime role/presentation not asserted
CREATURE_REFERENCE	creature	guid=516075	55626	516075	870	5805	6039	1	-166.521	641.21	165.493	6.22907			16	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN;SEMANTICS_UNKNOWN	adjacent ranch reference candidate; gameplay meaning not assigned
CREATURE_REFERENCE	creature	guid=516076	55626	516076	870	5805	6039	1	-171.543	637.844	165.493	6.22907			16	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN;SEMANTICS_UNKNOWN	adjacent ranch reference candidate; gameplay meaning not assigned
CREATURE_REFERENCE	creature	guid=516078	59669	516078	870	5805	6039	1	-187.434	637.083	166.19	0			1	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN;SEMANTICS_UNKNOWN	adjacent ranch reference candidate; gameplay meaning not assigned
CREATURE_REFERENCE	creature	guid=516079	66129	516079	870	5805	6039	1	-166.536	645.502	165.492	0			8	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN;SEMANTICS_UNKNOWN	adjacent ranch reference candidate; gameplay meaning not assigned
CREATURE_REFERENCE	creature	guid=516080	66129	516080	870	5805	6039	1	-172.089	650.839	165.492	0			8	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN;SEMANTICS_UNKNOWN	adjacent ranch reference candidate; gameplay meaning not assigned
CREATURE_REFERENCE	creature	guid=516081	66129	516081	870	5805	6039	1	-166.623	649.691	165.492	0			8	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN;SEMANTICS_UNKNOWN	adjacent ranch reference candidate; gameplay meaning not assigned
CREATURE_REFERENCE	creature	guid=516082	66129	516082	870	5805	6039	1	-171.543	637.844	165.492	0			8	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN;SEMANTICS_UNKNOWN	adjacent ranch reference candidate; gameplay meaning not assigned
CREATURE_REFERENCE	creature	guid=516083	66129	516083	870	5805	6039	1	-166.28	636.965	165.492	0			8	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN;SEMANTICS_UNKNOWN	adjacent ranch reference candidate; gameplay meaning not assigned
CREATURE_REFERENCE	creature	guid=516084	66129	516084	870	5805	6039	1	-171.727	642.276	165.492	0			8	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN;SEMANTICS_UNKNOWN	adjacent ranch reference candidate; gameplay meaning not assigned
CREATURE_REFERENCE	creature	guid=516085	66129	516085	870	5805	6039	1	-166.521	641.21	165.492	0			8	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN;SEMANTICS_UNKNOWN	adjacent ranch reference candidate; gameplay meaning not assigned
CREATURE_REFERENCE	creature	guid=516089	55626	516089	870	5805	6039	1	-166.279	636.965	165.493	0.0699644			16	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN;SEMANTICS_UNKNOWN	adjacent ranch reference candidate; gameplay meaning not assigned
CREATURE_REFERENCE	creature	guid=516091	55626	516091	870	5805	6039	1	-172.071	646.583	165.493	6.22907			16	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN;SEMANTICS_UNKNOWN	adjacent ranch reference candidate; gameplay meaning not assigned
CREATURE_REFERENCE	creature	guid=516092	55626	516092	870	5805	6039	1	-172.089	650.839	165.493	6.22907			16	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN;SEMANTICS_UNKNOWN	adjacent ranch reference candidate; gameplay meaning not assigned
CREATURE_REFERENCE	creature	guid=516093	55626	516093	870	5805	6039	1	-166.536	645.502	165.493	6.22907			16	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN;SEMANTICS_UNKNOWN	adjacent ranch reference candidate; gameplay meaning not assigned
CREATURE_REFERENCE	creature	guid=516094	55626	516094	870	5805	6039	1	-166.623	649.691	165.493	6.22907			16	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN;SEMANTICS_UNKNOWN	adjacent ranch reference candidate; gameplay meaning not assigned
CREATURE_REFERENCE	creature	guid=516095	55626	516095	870	5805	6039	1	-156	638.984	165.493	6.27374			16	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN;SEMANTICS_UNKNOWN	adjacent ranch reference candidate; gameplay meaning not assigned
CREATURE_REFERENCE	creature	guid=516096	55626	516096	870	5805	6039	1	-156.382	643.403	165.493	6.27374			16	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN;SEMANTICS_UNKNOWN	adjacent ranch reference candidate; gameplay meaning not assigned
CREATURE_REFERENCE	creature	guid=516097	55626	516097	870	5805	6039	1	-156.767	647.411	165.493	6.27374			16	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN;SEMANTICS_UNKNOWN	adjacent ranch reference candidate; gameplay meaning not assigned
CREATURE_REFERENCE	creature	guid=516098	55626	516098	870	5805	6039	1	-150.7	638.34	165.493	0.11463			16	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN;SEMANTICS_UNKNOWN	adjacent ranch reference candidate; gameplay meaning not assigned
CREATURE_REFERENCE	creature	guid=516099	55626	516099	870	5805	6039	1	-151.13	642.566	165.493	6.27374			16	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN;SEMANTICS_UNKNOWN	adjacent ranch reference candidate; gameplay meaning not assigned
CREATURE_REFERENCE	creature	guid=516100	55626	516100	870	5805	6039	1	-156.983	651.663	165.493	6.27374			16	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN;SEMANTICS_UNKNOWN	adjacent ranch reference candidate; gameplay meaning not assigned
CREATURE_REFERENCE	creature	guid=516101	55626	516101	870	5805	6039	1	-151.193	646.58	165.493	6.27374			16	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN;SEMANTICS_UNKNOWN	adjacent ranch reference candidate; gameplay meaning not assigned
CREATURE_REFERENCE	creature	guid=516102	55626	516102	870	5805	6039	1	-151.464	650.762	165.493	6.27374			16	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN;SEMANTICS_UNKNOWN	adjacent ranch reference candidate; gameplay meaning not assigned
CREATURE_REFERENCE	creature	guid=516110	66129	516110	870	5805	6039	1	-172.071	646.583	165.492	0			8	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN;SEMANTICS_UNKNOWN	adjacent ranch reference candidate; gameplay meaning not assigned
CREATURE_REFERENCE	creature	guid=516111	55626	516111	870	5805	6039	1	-171.727	642.276	165.493	6.22907			16	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN;SEMANTICS_UNKNOWN	adjacent ranch reference candidate; gameplay meaning not assigned
OBSTACLE	gameobject	guid=514447	210448	514447	870	5805	6039	1	-160.05	649.503	165.409	0			2	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN	gameobject_template name: Weed; gameplay correctness not asserted
OBSTACLE	gameobject	guid=514448	210447	514448	870	5805	6039	1	-156.425	645.592	165.409	5.46288			7	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN	gameobject_template name: Weed; gameplay correctness not asserted
OBSTACLE	gameobject	guid=514449	210448	514449	870	5805	6039	1	-154.58	644.009	165.409	6.23083			2	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN	gameobject_template name: Weed; gameplay correctness not asserted
OBSTACLE	gameobject	guid=514450	210444	514450	870	5805	6039	1	-156.894	648.561	165.409	2.46091			5	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN	gameobject_template name: Weed; gameplay correctness not asserted
PLOT_SOIL_REFERENCE	gameobject	guid=514451	214047	514451	870	5805	6039	1	-154.303	606.36	181.279	1.38754			1	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN;SEMANTICS_UNKNOWN	gameobject_template name: Doodad_pa_hook_009; baseline inventory only, no plot/soil state meaning assigned
OBSTACLE	gameobject	guid=514452	210444	514452	870	5805	6039	1	-160.177	653.141	165.409	3.76991			5	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN	gameobject_template name: Weed; gameplay correctness not asserted
OBSTACLE	gameobject	guid=514453	210446	514453	870	5805	6039	1	-159.115	647.497	165.409	1.95477			4	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN	gameobject_template name: Weed; gameplay correctness not asserted
OBSTACLE	gameobject	guid=514454	210446	514454	870	5805	6039	1	-157.283	642.233	165.409	1.81514			4	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN	gameobject_template name: Weed; gameplay correctness not asserted
OBSTACLE	gameobject	guid=514455	210444	514455	870	5805	6039	1	-159.502	645.3	165.409	3.17653			5	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN	gameobject_template name: Weed; gameplay correctness not asserted
PLOT_SOIL_REFERENCE	gameobject	guid=514456	214050	514456	870	5805	6039	1	-152.456	607.609	181.303	2.14675			1	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN;SEMANTICS_UNKNOWN	gameobject_template name: Doodad_pa_hook_012; baseline inventory only, no plot/soil state meaning assigned
PLOT_SOIL_REFERENCE	gameobject	guid=514457	214036	514457	870	5805	6039	1	-157.993	611.577	179.017	6.257			1	world_548_20240722.sql	IDENTITY_PROVEN;LOCATION_PROVEN;SEMANTICS_UNKNOWN	gameobject_template name: Doodad_worgen_farmmoth_001; baseline inventory only, no plot/soil state meaning assigned
